English_Word,Examples
troll,"- A troll is an ugly creature in old stories.
- - Internet trolls try to start arguments online.
- - He is a troll who posts offensive comments.
- - Don't feed the trolls; just ignore them.
- - They went to the lake to troll for fish.
- - He likes to troll for salmon in the river."
truant,"- The truant students were found playing video games at the arcade.
- - Truant children often fall behind in their studies.
- - The truant was caught skipping class.
- - The school has a policy to deal with truants."
truck,"- A truck is a large motor vehicle used for transporting goods.
- - The truck driver delivered the packages on time.
- - We had to truck the supplies across the desert.
- - They will truck the equipment to the construction site."
tubing,"- The tubing is made of plastic.
- - We need to replace the tubing in the engine.
- - We went tubing down the river.
- - The tubing trip was so fun!
- - They are tubing the new water line.
- - We need to tube the wires to protect them."
tune in,"- Please tune in the radio to 98.5 FM.
- - I need to tune in my guitar before the concert.
- - Tune in next week for another episode of the show.
- - Millions of people tuned in to watch the final game.
- - I need to tune in to what the teacher is saying.
- - It's hard to tune in when there are so many distractions."
tunnel,"- The train went through the tunnel.
- - They built a tunnel under the river.
- - The prisoners tunnelled out of the jail.
- - They tunnelled under the wall.
- - We walked through a tunnel of trees.
- - The wind howled through the tunnel."
turret,"- The castle had a large turret on each corner.
- - The turret provided a strategic vantage point for defense.
- - The tank's turret could rotate 360 degrees.
- - The turret housed a powerful cannon."
unapproachable,"- He seemed unapproachable, so I didn't dare to ask him for help.
- - The high walls made the building look unapproachable.
- - The peak of the mountain was unapproachable due to the steep cliffs.
- - After his promotion, he became arrogant and unapproachable.
- - Her cold demeanor made her seem unapproachable.
- - The new manager is very unapproachable, making it hard to discuss problems."
uncle,"- My uncle is a doctor.
- - I went to visit my uncle and aunt.
- - He is my mother's brother, so he is my uncle.
- - My uncle always tells funny stories."
unfancied,"- The unfancied team won the championship.
- - He was an unfancied candidate in the election.
- - It was an unfancied outcome, but it happened.
- - The unfancied player made a surprising comeback."
unpalatable,"- The food was unpalatable and overpriced.
- - The medicine had an unpalatable taste.
- - The idea of working with him was unpalatable.
- - His behaviour was unpalatable to many."
unruly,"- The unruly children were running around the classroom.
- - The teacher struggled to control the unruly class.
- - The wind whipped her unruly hair across her face.
- - The garden was overgrown and unruly.
- - He had an unruly temper and often lost his cool.
- - The unruly crowd refused to listen to the police."
unusually (strong),"- The economy performed unusually strongly this quarter.
- - He was unusually strong for his age.
- - The tea had an unusually strong flavor.
- - She has an unusually strong work ethic."
unworthy,"- He felt unworthy of her love.
- - I am unworthy to even look at you.
- - The king deemed him unworthy of the crown.
- - She considered his behavior unworthy of a gentleman.
- - They were deemed unworthy of consideration.
- - The task was unworthy of his talents."
usage,"- The usage of mobile phones has increased dramatically.
- - This word has several different usages.
- - It is common usage to tip waiters in restaurants.
- - According to common usage, you should arrive on time.
- - The program's CPU usage is very high.
- - Monitor the data usage to avoid extra charges."
utmost,"- The project is of the utmost importance.
- - We need to proceed with the utmost caution.
- - He showed the utmost respect for his elders.
- - She felt the utmost joy when she received the news."
valuation,"- The valuation of the company was much higher than expected.
- - An independent valuation is necessary to determine the fair price.
- - He placed a high valuation on honesty.
- - They have a strong valuation of their cultural heritage.
- - The initial valuation proved to be inaccurate.
- - The actuary provided a risk valuation."
veggie,"- I eat a veggie burger every week.
- - She prefers fresh veggies over processed foods.
- - We ordered a veggie pizza.
- - The restaurant offers veggie options."
vehemence,"- He expressed his vehemence through angry shouts.
- - The vehemence of the storm surprised everyone.
- - She spoke with great vehemence about the need for change.
- - His vehemence convinced others to join the cause.
- - The politician responded with vehemence to the accusations.
- - He argued his point with considerable vehemence."
vexation,"- To my great vexation, the car broke down.
- - She expressed her vexation with the new policy.
- - He stamped his foot in vexation.
- - The delays caused her great vexation."
virgin,"- She was a virgin when she got married.
- - The virgin olive oil is of high quality.
- - The forest was virgin territory.
- - The beach was virgin and untouched.
- - He's a virgin when it comes to skiing.
- - She's a political virgin."
vlogging,"- Vlogging is a popular hobby for many young people.
- - She spends hours editing her vlogging content.
- - He is vlogging about his travels in Europe.
- - She enjoys vlogging her daily life."
vulnerability,"- The company's vulnerability to cyber attacks was a major concern.
- - He exploited her vulnerability to gain her trust.
- - The software has a known vulnerability that hackers can exploit.
- - Lack of exercise increases vulnerability to disease.
- - His vulnerability was evident in his sensitive reactions.
- - The program aims to reduce the vulnerability of children in the region."
waitstaff,"- The waitstaff was very attentive to our needs.
- - The restaurant needs to hire more waitstaff for the busy season."
wastrel,"- He is a wastrel who spends all his money on gambling.
- - The wastrel inherited a fortune but quickly squandered it.
- - Don't be a wastrel; go find a job.
- - The wastrel spent his days loitering in the park.
- - He was known as a wastrel for his extravagant spending habits.
- - She warned him not to be a wastrel with his newfound wealth."
watch television (tv),"- I like to watch television after dinner.
- - She watches television every evening.
- - They watch television for entertainment.
- - We often watch television on weekends."
way of life,"- Their way of life is very different from ours.
- - He adapted to the new way of life quickly.
- - She enjoys a simple way of life in the countryside.
- - His way of life revolves around surfing and the beach.
- - Farming is their traditional way of life.
- - Tourism has become an important way of life for the island."
webcast,"- The company will be holding a webcast to announce their new product.
- - Thousands of people tuned in to watch the webcast.
- - We will webcast the conference live on our website.
- - The event was webcasted to a global audience."
weblog,"- She started a weblog to share her travel experiences.
- - His weblog became quite popular over time.
- - He decided to weblog about his daily activities.
- - She weblogs regularly on her personal website."
weight belt,"- Divers use a weight belt to counteract buoyancy underwater.
- - He adjusted his weight belt before diving into the deep sea."
well-balanced,"- A well-balanced diet is essential for good health.
- - The company needs a well-balanced portfolio of investments.
- - The team has a well-balanced mix of skills.
- - The novel presents a well-balanced view of the historical events.
- - He has a well-balanced approach to life.
- - The budget is well-balanced, with spending allocated across various departments."
what does x stand for?,"- What does the abbreviation 'ASAP' stand for?
- - I don't know what 'RSVP' stands for."
what would you like...?,"- What would you like to drink?
- - What would you like to order?
- - What would you like the temperature to be?
- - What would you like the music to sound like?
- - So, what would you like to do today?
- - What would you like to achieve with this project?"
whisk,"- She used a whisk to beat the eggs.
- - The chef prefers a balloon whisk for making sauces.
- - Whisk the cream until it is light and fluffy.
- - He whisked the ingredients together quickly."
wildest,"- This is the wildest party I have ever been to.
- - He has the wildest imagination.
- - That was the wildest thing I've ever seen.
- - She has the wildest ideas.
- - The river was at its wildest after the storm.
- - The children were running around in the garden in their wildest state."
windy,"- It was a windy day at the beach.
- - The weather forecast predicts it will be windy tomorrow.
- - She gave a windy speech that didn't say much.
- - The politician's windy rhetoric was unconvincing."
witness box,"- The witness swore an oath before entering the witness box.
- - He nervously adjusted his tie as he stood in the witness box."
worn,"- His worn shoes had holes in them.
- - The carpet was worn and faded.
- - She had worn that dress before.
- - The tires were worn down after many miles.
- - She looked worn out after a long day at work.
- - I felt worn down by the constant stress."
yarmulke,"- Many Jewish men wear a yarmulke.
- - He put on his yarmulke before entering the synagogue."
your,"- Is that your car?
- - Your idea is excellent.
- - Are these your books?
- - Your efforts are appreciated."
your mind goes blank,"- During the exam, my mind went completely blank.
- - When the police asked me what I saw, my mind went blank.
- - I was so nervous that my mind went blank when I started my speech.
- - Her question was so unexpected that my mind went blank."
yummy,"- This cake is yummy.
- - The soup was really yummy.
- - We had a yummy breakfast.
- - The cookies smell yummy.
- - That yummy-looking pizza is making me hungry.
- - She cooked a yummy meal for us."
overlord,"- The overlord demanded tribute from the conquered people.
- - The dragon was the overlord of the mountain.
- - The local overlord controlled the economy of the town.
- - He became the overlord of the criminal organization.
- - The cat acted as the overlord of the house, demanding attention.
- - The company's CEO was seen as the overlord by many employees."
bitterly,"- She complained bitterly about the service.
- - He regretted his decision bitterly.
- - The wind blew bitterly cold.
- - They fought bitterly for their beliefs.
- - She was bitterly disappointed.
- - He was bitterly opposed to the plan."
overcrowded,"- The train was so overcrowded that I had to stand.
- - The refugee camps are overcrowded and lack basic supplies.
- - The restaurant was overcrowded with tourists during the holiday.
- - The market was overcrowded with vendors and shoppers."
the very best,"- This is the very best coffee I've ever had.
- - She always gives the very best advice.
- - He is the very best player on the team.
- - We want to provide the very best care for our patients.
- - This is the very best way to solve the problem.
- - She is the very best candidate for the job."
come home,"- I will come home late tonight.
- - When will you come home?
- - The birds come home to roost in the evening.
- - After traveling for years, he finally came home.
- - He'll come home when he realizes the truth.
- - I hope they come home to the consequences of their actions."
what's his/her job?,"- What's his job? Is he a doctor?
- - What's her job? She works at the bank.
- - What's his job in the company?
- - What's her job as a volunteer?"
adventure holiday,"- We booked an adventure holiday to Costa Rica.
- - An adventure holiday is a great way to see the world."
appear [seem],"- She didn't appear to be upset.
- - He suddenly appeared in the doorway.
- - New evidence has appeared in the case.
- - Stars began to appear in the sky.
- - The book will appear next month.
- - His article appeared in a national newspaper."
by [next to],"- The bank is by the post office.
- - She sat by me during the concert.
- - This book was written by a famous author.
- - The project was funded by the government.
- - The danger has long gone by.
- - I watched them walking by."
fair [hair],"- She has fair hair and blue eyes.
- - The child had fair hair that shone in the sun.
- - The referee made a fair decision.
- - It's not fair to blame him for everything.
- - We had fair weather for our picnic.
- - The forecast predicts fair skies for tomorrow."
gradual,"- There has been a gradual improvement in her health.
- - The decline in manufacturing was gradual.
- - The gradual increase in price didn't bother most customers.
- - We need a gradual transition to the new system.
- - The climate is undergoing gradual change.
- - He is making gradual progress in learning French."
have children,"- Do you have children?
- - They want to have children soon.
- - She doesn't have children yet.
- - Many people have children later in life now."
miss [avoid],"- I missed the bus this morning.
- - He missed the target.
- - I miss my family very much.
- - She misses her old friends.
- - Let's not miss any details.
- - He missed the lecture because he was sick."
have a word,"- I need to have a word with you about your performance.
- - Can I have a word with you in private?
- - I'm going to have a word with him about his language.
- - My boss had a word with me about being late."
head and shoulders above,"- Her performance was head and shoulders above the rest of the cast.
- - In terms of experience, she's head and shoulders above the other candidates."
life-size,"- The museum has a life-size replica of the dinosaur.
- - The artist created a life-size sculpture of the famous actor."
microbiology,"- Microbiology is the study of microorganisms.
- - She is majoring in microbiology at the university."
upfront,"- The company paid upfront for the materials.
- - We need to know the costs upfront.
- - There's an upfront fee required to join the club.
- - They asked for an upfront payment before starting the project.
- - He was upfront about his intentions.
- - She was very upfront with me about the risks."
adjourning,"- The meeting was adjourning until next week.
- - The court is adjourning for lunch.
- - The conference is adjourning after a successful three days.
- - The session is adjourning now."
be looking up,"- She was looking up at the stars.
- - We looked up at the tall building.
- - I had to look up the word in the dictionary.
- - Can you look up the train times for me?
- - He really looks up to his father.
- - She looks up to her older sister as a role model."
bosom pals,"- They have been bosom pals since childhood.
- - The two were bosom pals, always together.
- - She and her roommate became bosom pals very quickly.
- - The movie portrays the story of two bosom pals."
broad summary,"- The report provides a broad summary of the project's progress.
- - I'll give you a broad summary, and then we can discuss the details.
- - This book offers a broad summary of European history.
- - The presentation gave a broad summary of the company's performance over the last year."
harsh colours,"- The painting used harsh colours that clashed with each other.
- - The harsh colours of the sunset were almost blinding.
- - The interior design featured harsh colours that made the room feel unwelcoming.
- - She avoided wearing harsh colours because they didn't suit her complexion."
hit the road,"- We should hit the road before it gets dark.
- - It's time to hit the road; we have a long drive ahead.
- - I think it's time for me to hit the road.
- - Alright, I'm going to hit the road now. See you later!"
letting agency,"- I found my apartment through a letting agency.
- - The letting agency manages several properties in the city center."
loath,"- I was loath to leave.
- - She was loath to admit it.
- - He is loath to spend money.
- - They were loath to get involved."
low-cost,"- We are looking for a low-cost airline ticket.
- - This is a low-cost alternative to the original product.
- - The company is focused on low-cost production methods.
- - Low-cost housing is essential for the city.
- - This hotel is a low-cost option for travelers.
- - We offer low-cost solutions for small businesses."
stunned,"- She was stunned by the news of her promotion.
- - I was stunned into silence.
- - The loud noise stunned the birds.
- - He was stunned by the blow to the head."
unison,"- The choir sang in unison.
- - Their views were in unison.
- - The crowd shouted in unison.
- - They all turned their heads in unison."
be a dead-end,"- Negotiations reached a dead-end.
- - His career seemed to be at a dead-end.
- - All our efforts were a dead-end.
- - This investigation turned out to be a dead-end.
- - Working in that job was a dead-end.
- - He didn't want a dead-end job."
a common goal,"- The team is working towards a common goal.
- - Their common goal is to improve the community.
- - Despite their differences, they share a common goal.
- - Achieving a common goal requires cooperation."
be the favourite,"- Our team is the favourite to win the championship this year.
- - She is the favourite to get the promotion.
- - This restaurant is the favourite among locals.
- - Blue is the favourite color of many people."
get your feet wet,"- I decided to get my feet wet in the stock market by investing a small amount.
- - This project is a great way to get your feet wet in project management.
- - She's getting her feet wet in her new job.
- - The internship program helps students get their feet wet in the industry."
put your finger on,"- He can't quite put his finger on what's bothering him.
- - I can't put my finger on where I've seen him before.
- - I think you've put your finger on the problem.
- - She put her finger on the main reason for the company's failure."
i lost my footing,"- I lost my footing on the icy steps and fell.
- - Be careful walking there; it's easy to lose your footing near the edge.
- - He lost his footing in the argument and started shouting.
- - She lost her footing when she heard the shocking news."
get on your feet,"- The audience got on their feet and applauded.
- - Get on your feet, we have a lot to do!
- - The economy is finally getting back on its feet.
- - It took him a while to get back on his feet after the accident.
- - She is working hard to get on her own feet.
- - It's important to get on your feet and be independent."
have your heart set on,"- She has her heart set on going to Harvard.
- - He had his heart set on winning the competition, but he lost.
- - I had my heart set on that promotion, and I was very disappointed when I didn't get it.
- - She had her heart set on a new car."
make it up to,"- I'm sorry I missed your birthday party. I'll make it up to you.
- - He forgot their anniversary, but he promised to make it up to her with a special trip.
- - I know I messed up. Let me make it up to you by cooking dinner.
- - He tried to make it up to his wife after their argument.
- - The company offered to make it up to the customers affected by the data breach.
- - They will make it up to you for the inconvenience caused."
the hand that feeds you,"- He criticized his boss in public, forgetting that he was biting the hand that feeds him.
- - Don't be rude to your parents; they are the hand that feeds you.
- - By quitting his job without notice, he was essentially biting the hand that feeds him.
- - The company provided her with many opportunities, so speaking negatively about it would be biting the hand that feeds her."
it doesn't float my boat!,"- I know that going to the opera is supposed to be fun, but it doesn't float my boat.
- - This new reality show really doesn't float my boat; I find it quite boring.
- - Skydiving just doesn't float my boat; I prefer calmer activities.
- - That type of music doesn't really float my boat, so I probably won't go to the concert.
- - Action movies don't float my boat; I prefer comedies.
- - Working overtime every day doesn't float my boat at all."
as dry as a bone,"- The desert was as dry as a bone.
- - After the drought, the riverbed was as dry as a bone.
- - My throat is as dry as a bone; I need some water.
- - The old bread was as dry as a bone and impossible to eat."
it's not cricket,"- Using company resources for personal gain is just not cricket.
- - He tried to cheat during the exam; that's simply not cricket.
- - Revealing someone's personal secrets is not cricket.
- - Spreading rumors about colleagues is really not cricket."
stick two fingers up at sb,"- He stuck two fingers up at the driver who cut him off.
- - When the boss told him he was fired, he just stuck two fingers up at him and walked out."
gas-guzzler,"- That old Cadillac is a real gas-guzzler.
- - He traded in his gas-guzzler for a hybrid.
- - Gas-guzzler vehicles are becoming less popular.
- - The company is trying to reduce its fleet of gas-guzzler trucks."
your heart is in your boots,"- He was so disappointed that his heart was in his boots.
- - After losing the game, the whole team had their hearts in their boots."
shoot ... high,"- They are shooting high with their new business plan.
- - You have to shoot high if you want to achieve great things.
- - She's shooting high, aiming for a promotion to CEO.
- - Don't be afraid to shoot high and pursue your dreams."
if you have your mind to,"- If you have your mind to become a doctor, you can achieve it with hard work.
- - If you have your mind to learn a new language, consistent practice is essential.
- - If you have your mind to travel the world, start saving money now.
- - If you have your mind to start your own business, you'll need a solid business plan."
in its infancy,"- The project is still in its infancy.
- - The technology is in its infancy, but it shows great promise.
- - The field of artificial intelligence is still in its infancy.
- - Space tourism is in its infancy and faces many challenges."
two fingers up at sb,"- He gave the teacher two fingers up after being told off.
- - Showing two fingers up at someone is considered rude in many cultures."
razor's edge,"- The company was walking on a razor's edge between success and bankruptcy.
- - His decision put him on a razor's edge.
- - The negotiation was on a razor's edge and could collapse at any moment.
- - The political situation is on a razor's edge after the election results.
- - Handle the glass carefully; it has a razor's edge.
- - The sculptor smoothed the stone until it had a razor's edge."
win by a whisker,"- Our team won the game by a whisker.
- - He escaped the accident by a whisker.
- - The bill passed the committee by a whisker.
- - She managed to complete the project on time by a whisker.
- - I missed the train by a whisker.
- - The company avoided bankruptcy by a whisker."
an aspect of,"- Honesty is an important aspect of his character.
- - The financial aspect of the project needs careful consideration.
- - The design aspect is the most interesting to me.
- - This aspect of the problem is often overlooked.
- - Flexibility is a key aspect of the new system.
- - We need to consider every aspect of the situation."
be a degree,"- She wants to be a degree in engineering.
- - He is going to be a degree this year.
- - To be a degree, one must study hard.
- - It's an honor to be a degree in such a prestigious university."
a grudge,"- She has held a grudge against him for years.
- - He seems to hold a grudge over something I said.
- - I don't grudge him his success.
- - She didn't grudge the money she spent on her children."
generous benefits,"- The company offers generous benefits to its employees, including health insurance and paid time off.
- - She received generous benefits from her retirement plan after working for the company for 30 years.
- - The new contract provides generous benefits for all parties involved.
- - Students at this university receive generous benefits, such as access to free tutoring and counseling services."
engrossed in a,"- She was engrossed in a book and didn't notice me enter the room.
- - He was completely engrossed in a video game.
- - The company is engrossed in a major restructuring.
- - The scientists were engrossed in a complex research project."
doubt on,"- I doubt on his honesty.
- - She doubts on his story.
- - I doubt on whether it will rain.
- - They doubt on if he will come."
a chill,"- I felt a chill as I walked into the room.
- - She caught a chill from being out in the rain.
- - There was a chill in the air.
- - We felt a chill when the sun went behind the clouds.
- - Let's have a chill evening at home.
- - He has a chill attitude towards life."
connecting flight,"- I have a connecting flight in Chicago.
- - Make sure you have enough time for your connecting flight."
a 26,"- He scored a 26 on the test.
- - The number a 26 is divisible by 2.
- - She is a 26-year-old woman.
- - He hired a 26-year-old intern."
crack down,"- The police are cracking down on drunk driving.
- - The government is cracking down on illegal immigration.
- - The city is cracking down on graffiti.
- - The school is cracking down on bullying."
study for a,"- I need to study for a test tomorrow.
- - She has to study for a presentation next week.
- - He will study for a few hours tonight.
- - We should study for a better future."
high-street,"- The shop is located on the high street.
- - Many people go to the high street to shop.
- - High-street fashion is usually affordable.
- - The brand started as a high-street name."
over-powering,"- The smell of the perfume was overpowering.
- - The team's performance was overpowering, leaving their opponents no chance.
- - The desire to eat chocolate was overpowering.
- - The sense of sadness was overpowering after the news.
- - His argument was overpowering and convinced everyone.
- - The heat was overpowering during the summer months."
ease the,"- The new medicine will ease the pain.
- - We need to ease the pressure on hospitals.
- - A warm bath can ease tense muscles.
- - He tried to ease her fears.
- - These measures are designed to ease traffic congestion.
- - The government hopes these policies will ease unemployment."
your last respects,"- The family gathered to pay their last respects to the deceased.
- - We went to the funeral to pay our last respects.
- - He wanted to pay his last respects to his mentor.
- - It's important to pay your last respects to those who have passed."
a political,"- The decision was based on a political calculation.
- - He is a political figure.
- - He is a political with strong opinions.
- - She became a political at a young age."
a a,"- A a, it's broken again!
- - A a, not this problem again."
a prompt,"- The news report served as a prompt for people to donate blood.
- - The system provides a prompt for the user to enter their password.
- - What prompted you to say that?
- - The article prompted a lot of debate.
- - He needed a prompt to remember his lines.
- - The actor forgot his line and had to be given a prompt."
be booked up,"- The restaurant is completely booked up for tonight.
- - I tried to book a table, but they were booked up.
- - I'm booked up all week with meetings.
- - The doctor is booked up for the next two weeks."
brush up (on) sth,"- I need to brush up on my French before going to Paris.
- - She's brushing up on her computer skills.
- - He brushed up on the company's policies before the meeting.
- - I brushed up on the history of the region."
get back to sb,"- I'll get back to you as soon as I have an answer.
- - Please leave your number and I'll get back to you later.
- - I need to get back my book from John.
- - She wants to get back the money she lent him.
- - He plans to get back at his former boss for firing him.
- - I'll get back at you for this!"
jump up,"- The cat can jump up onto the roof.
- - He told me to jump up and down.
- - She jumped up the corporate ladder quickly.
- - He jumped up to manager in just a few years.
- - When he heard the news, he jumped up in excitement.
- - She jumped up from her chair when she saw him."
look back (at/on sth),"- When I look back on my childhood, I have many fond memories.
- - Looking back at the project, we could have done some things differently.
- - He looked back on his mistakes with regret.
- - She looked back at their relationship and wondered where it all went wrong.
- - She didn't look back as she walked away.
- - He looked back one last time before entering the building."
look into sth,"- The police are looking into the matter.
- - I'll look into the possibility of getting you a refund.
- - Could you look into whether these files are up to date?
- - We need to look into the project details before making a decision.
- - We'll look into your suggestion and see if it's feasible.
- - The committee will look into the proposed changes."
pass for sb/sth,"- He could easily pass for a younger man.
- - This fake ID will pass for a real one.
- - She tried to pass off the imitation jewelry for real diamonds.
- - He attempted to pass a forged check.
- - That excuse won't pass for me.
- - His performance didn't pass for good enough."
phase out sth,"- The government is planning to phase out nuclear weapons.
- - We are going to phase out this model and replace it with a new one.
- - The company decided to phase out the old software system.
- - They are phasing out leaded gasoline."
pick on sb,"- The older boys always pick on him because he's small.
- - Stop picking on your little brother!
- - My boss is always picking on me for the smallest mistakes.
- - She's always picking on his grammar."
run after sb,"- The police ran after the thief.
- - He ran after her, shouting her name.
- - She's always running after the latest trends.
- - He's running after a promotion."
set forth,"- The company's goals are set forth in the business plan.
- - The rules are set forth in the contract.
- - They set forth on their journey early in the morning.
- - The expedition set forth to explore the unknown territories.
- - The lawyer set forth a convincing argument.
- - She set forth her ideas clearly and concisely."
spill out,"- The milk spilled out of the glass when I tilted it.
- - Water spilled out from the overflowing bathtub.
- - The crowd spilled out of the stadium after the concert.
- - Fans spilled out onto the streets to celebrate the victory.
- - The truth spilled out during the heated argument.
- - Secrets began to spill out about the company's illegal activities."
give of sth,"- She gives of her time to help the homeless.
- - He gives of his money to charity.
- - The flower gives of a sweet scent.
- - The fire gives of a warm glow."
land up,"- After a long search, they landed up finding the missing keys.
- - We landed up staying at home because of the bad weather.
- - The plane landed up safely despite the strong winds.
- - We are scheduled to land up in Rome at 6 PM.
- - I didn't plan to go to the party, but I landed up there anyway.
- - If you continue like this, you'll land up in trouble."
leave sth (off) sth,"- Please leave off my name from the list.
- - You can leave off the last paragraph; it's not important.
- - It's time to leave off smoking.
- - Leave off bothering me!"
mix sb up,"- I always mix up those two actresses.
- - Don't mix me up with my brother; we look nothing alike!
- - The instructions were so complicated that they mixed me up.
- - All those numbers mixed me up."
paper over sth,"- The company tried to paper over the scandal.
- - We can't just paper over these problems; we need to address them.
- - He tried to paper over his nervousness with a joke.
- - The government is trying to paper over the cracks in the economy."
put on sth,"- I put on my coat before going outside.
- - She put on her new dress for the party.
- - He has put on a lot of weight since he stopped exercising.
- - I put on a few pounds during the holidays.
- - The theater group will put on a play next month.
- - They put on a great show for the audience."
put together sth,"- I need to put together this bookshelf.
- - She tried to put the broken vase together, but it was too damaged.
- - The chef can put together a delicious meal with simple ingredients.
- - We need to put together a presentation for the meeting.
- - The police are trying to put together the pieces of the puzzle.
- - She is trying to put together enough money to buy a car."
roll about/around,"- The children were rolling about on the grass.
- - The dog rolled around in the mud.
- - We rolled about laughing when he told us what had happened.
- - The comedian had the audience rolling around in the aisles.
- - I've been rolling the idea around in my head for a while.
- - Let's roll around some ideas for the project."
send sth out,"- We sent out the invitations last week.
- - The company sends out newsletters every month.
- - The fire sent out thick black smoke.
- - The sun sent out a warm glow.
- - The ship sent out a distress signal.
- - They sent out a mayday call."
tune into sth,"- Don't forget to tune into our show tonight at 8 PM.
- - I always tune into the news when something important happens.
- - It takes a while to tune into a new work environment.
- - The team needs to tune into each other's strengths to succeed."
wring sth out of sb,"- The company is trying to wring concessions out of the union.
- - He managed to wring a promise out of her.
- - The landlord is wringing every last penny out of his tenants.
- - The corporation is wringing profits out of the local community.
- - She wrung the water out of her wet clothes.
- - They tried to wring the truth out of him."
cast doubt on,"- The evidence casts doubt on his alibi.
- - His behavior casts doubt on his sincerity.
- - The report casts doubt on the effectiveness of the program.
- - These findings cast doubt on previous research."
in passing,"- He mentioned it in passing.
- - I saw her in passing in the hallway.
- - I met him in passing at the conference.
- - She learned about the project in passing."
make an assertion,"- The report makes an assertion that the company is losing money.
- - He made an assertion about the benefits of exercise.
- - The lawyer made an assertion of his client's innocence.
- - She made an assertion of her rights.
- - The government made an assertion regarding the new policy.
- - The scientist made an assertion about the research findings."
mis-,"- Misunderstand means to understand something incorrectly.
- - The project was mismanaged from the start, leading to its failure.
- - He mistyped the password and couldn't log in.
- - The machine malfunctioned, causing a misprint on several pages."
